accuracy,number of trees,,max features,max leaf nodes,min sample leaf ,class weight
0.7761194,21,entropy,11,54,1,balanced
0.7761194,20,gini,8,53,1,balanced
0.7761194,23,gini,10,52,1,balanced
0.761194,20,entropy,10,46,2,balanced
0.761194,24,entropy,8,41,1,balanced
0.761194,24,entropy,8,63,1,balanced
0.761194,32,entropy,7,58,2,balanced
0.761194,32,entropy,9,57,2,balanced
0.761194,33,entropy,6,73,2,balanced
0.761194,28,gini,11,56,2,balanced
0.761194,29,gini,6,56,2,balanced
0.761194,29,gini,6,57,2,balanced
0.761194,30,gini,10,76,1,balanced
0.761194,20,entropy,6,36,2,balanced
0.761194,20,entropy,9,39,4,balanced
0.761194,20,entropy,9,74,3,balanced
0.7462687,20,entropy,7,56,2,balanced
0.7462687,21,entropy,6,41,2,balanced
0.7462687,21,entropy,11,74,2,balanced
0.7462687,22,entropy,6,43,2,balanced
0.7462687,22,entropy,7,77,1,balanced
0.7462687,23,entropy,6,45,2,balanced
0.7462687,23,entropy,6,68,2,balanced
0.7462687,23,entropy,8,59,1,balanced
0.7462687,23,entropy,9,37,1,balanced
0.7462687,23,entropy,10,42,2,balanced
0.7462687,25,entropy,7,51,2,balanced
0.7462687,25,entropy,7,75,2,balanced
0.7462687,25,entropy,7,79,1,balanced
0.7462687,25,entropy,10,55,2,balanced
0.7462687,26,entropy,6,37,1,balanced
0.7462687,26,entropy,7,53,2,balanced
0.7462687,26,entropy,7,66,1,balanced
0.7462687,26,entropy,10,61,2,balanced
0.7462687,28,entropy,6,51,1,balanced
0.7462687,28,entropy,10,44,1,balanced
0.7462687,29,entropy,6,49,2,balanced
0.7462687,29,entropy,7,51,2,balanced
0.7462687,30,entropy,6,76,2,balanced
0.7462687,31,entropy,7,76,1,balanced
0.7462687,32,entropy,6,48,2,balanced
0.7462687,32,entropy,6,76,2,balanced
0.7462687,33,entropy,6,74,2,balanced
0.7462687,33,entropy,6,77,1,balanced
0.7462687,33,entropy,10,71,1,balanced
0.7462687,21,gini,9,42,2,balanced
